#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz    dx2    tot
# NKPTS & NBANDS: 300  64
# Band-Index    1
   1.72585    -12.490822  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.73804    -12.485079  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.75023    -12.478294  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.76242    -12.470469  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.77461    -12.461606  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.78680    -12.451708  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.79899    -12.440777  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.81117    -12.428817  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.82336    -12.415832  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.83555    -12.401836  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.84774    -12.386828  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.85993    -12.370808  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.87212    -12.353782  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.88430    -12.335755  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.89649    -12.316735  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.90868    -12.296727  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.92087    -12.275740  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.93306    -12.253783  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.053
   1.94525    -12.230867  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   1.95744    -12.207003  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.051
   1.96962    -12.182200  0.047  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.051
   1.98181    -12.156472  0.047  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.051
   1.99400    -12.129840  0.048  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.051
   2.00619    -12.102324  0.048  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.051
   2.01838    -12.073934  0.048  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.051
   2.03057    -12.044688  0.045  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.052
   2.04276    -12.014609  0.045  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.052
   2.05494    -11.983722  0.045  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.049
   2.06713    -11.952055  0.046  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.049
   2.07932    -11.919641  0.043  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.049
   2.09151    -11.886515  0.043  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.050
   2.10370    -11.852719  0.043  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.050
   2.11589    -11.818302  0.041  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.047
   2.12807    -11.783318  0.041  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.048
   2.14026    -11.747830  0.041  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.048
   2.15245    -11.711912  0.039  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.049
   2.16464    -11.675660  0.039  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.046
   2.17683    -11.639160  0.037  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.047
   2.18902    -11.602526  0.037  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.047
